Name,SKU,Size,Price,Stock Quantity,Reorder Level,Reorder Quantity,Category,Barcode,Low Stock
"Test Product 1750907563431","PROD-TEST-1750907563431","100g","25.99","50","10","30","","","No"
"Test Product 1750907618405","PROD-TEST-1750907618405","100g","25.99","50","10","30","","","No"
"Black Tea Gift Box","PROD-BLACK-BOX-001","200g","39.99","8","5","20","gift-set","","No"
"Tea Sampler Set","PROD-SAMPLER-001","3x50g","45.99","2","8","30","gift-set","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-SET","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945604377","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945644990","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945684605","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945691670","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945752206","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945782234","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945807892","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945808278","30g + whisk","149.99","0","5","20","tea","","Yes"
"Ceremonial Matcha Set","PROD-MATCHA-1750945808655","30g + whisk","149.99","0","5","20","tea","","Yes"
"Classic Black Tea","PROD-BLACK-001","20 bags","12.99","50","25","100","tea","","No"
"Deluxe Oolong Tea","PROD-OOLONG-001","15 bags","24.99","0","10","50","tea","","Yes"
"Green Tea Tin","PROD-GREEN-TIN-001","100g","29.99","0","10","40","tea","","Yes"
"Jasmine Green Tea Blend","PROD-JASMINE-1750909224419","25 bags","18.99","30","10","50","tea","","No"
"Jasmine Green Tea Blend","PROD-JASMINE-1750909607303","25 bags","18.99","30","10","50","tea","","No"
"Premium Green Tea","PROD-GREEN-001","20 bags","15.99","105","20","100","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-LUX","100g tin","89.99","0","10","30","tea","","Yes"
"Royal Darjeeling Collection","PROD-DARJ-1750945604376","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945644989","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945684604","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945691669","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945752205","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945782233","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945807891","100g tin","89.99","22","10","30","tea","","No"
"Royal Darjeeling Collection","PROD-DARJ-1750945808277","100g tin","89.99","0","10","30","tea","","Yes"
"Royal Darjeeling Collection","PROD-DARJ-1750945808654","100g tin","89.99","11","10","30","tea","","No"
